Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-1593.points, 59.64, 0.09
test-1594.points, 77.33, 0.20
test-1595.points, 70.61, 0.18
test-1596.points, 75.10, 0.28
test-1597.points, 80.35, 0.28
test-1598.points, 77.02, 0.21
test-1599.points, 65.50, 0.21
test-16.points, 80.78, 0.19
test-160.points, 80.95, 0.37
test-1600.points, 61.96, 0.24
test-1601.points, 61.51, 0.45
test-1602.points, 78.79, 0.22
test-1603.points, 84.32, 0.28
test-1604.points, 64.02, 0.17
test-1605.points, 81.93, 0.17
test-1606.points, 87.91, 0.15
test-1607.points, 69.90, 0.13
test-1608.points, 77.23, 0.32
test-1609.points, 93.16, 0.47
test-161.points, 73.47, 0.16
test-1610.points, 79.65, 0.12
test-1611.points, 68.72, 0.21
test-1612.points, 88.51, 0.28
test-1613.points, 68.42, 0.37
test-1614.points, 73.83, 0.09
test-1615.points, 81.51, 0.30
test-1616.points, 69.53, 0.18
test-1617.points, 61.95, 0.21
test-1618.points, 81.07, 0.10
test-1619.points, 80.54, 0.27
test-162.points, 67.70, 0.09
test-1620.points, 77.87, 0.18
test-1621.points, 77.72, 0.40
test-1622.points, 79.53, 0.22
test-1623.points, 90.63, 0.21
test-1624.points, 84.92, 0.22
test-1625.points, 88.69, 0.25
test-1626.points, 79.02, 0.28
test-1627.points, 82.74, 0.23
test-1628.points, 63.56, 0.28
test-1629.points, 71.56, 0.42
test-163.points, 57.55, 0.20
test-1630.points, 66.19, 0.08
test-1631.points, 87.70, 0.31
test-1632.points, 79.39, 0.15
test-1633.points, 79.36, 0.25
test-1634.points, 80.12, 0.35
test-1635.points, 60.60, 0.22
test-1636.points, 63.00, 0.33
test-1637.points, 68.09, 0.30
test-1638.points, 59.68, 0.20
test-1639.points, 83.01, 0.28
test-164.points, 73.51, 0.23
test-1640.points, 84.75, 0.36
test-1641.points, 64.52, 0.37
test-1642.points, 62.31, 0.33
test-1643.points, 84.17, 0.20
test-1644.points, 70.53, 0.15
test-1645.points, 70.22, 0.22
test-1646.points, 62.88, 1.38
test-1647.points, 58.68, 0.42
test-1648.points, 67.82, 0.19
test-1649.points, 68.77, 0.13
test-165.points, 92.21, 0.26
test-1650.points, 61.16, 0.42
test-1651.points, 76.49, 0.62
test-1652.points, 67.51, 0.39
test-1653.points, 77.03, 0.39
test-1654.points, 99.84, 0.14
test-1655.points, 82.30, 0.23
test-1656.points, 87.06, 0.25
test-1657.points, 70.89, 0.33
test-1658.points, 72.85, 0.15
test-1659.points, 73.93, 0.23
test-166.points, 82.89, 0.26
test-1660.points, 69.00, 0.20
test-1661.points, 84.06, 0.16
test-1662.points, 69.03, 0.39
test-1663.points, 77.64, 0.19
test-1664.points, 67.57, 0.23
test-167.points, 69.00, 0.12
test-168.points, 65.00, 0.37
test-169.points, 84.44, 0.23
test-17.points, 59.23, 0.21
test-170.points, 79.97, 0.32
test-171.points, 86.77, 0.49
test-172.points, 57.31, 0.24
test-173.points, 70.15, 0.25
test-174.points, 69.82, 0.12
test-175.points, 58.92, 0.26
test-176.points, 70.21, 0.11
test-177.points, 58.88, 0.27
test-178.points, 64.24, 0.29
test-179.points, 73.12, 0.31
test-18.points, 83.24, 0.34
test-180.points, 58.13, 0.32
test-181.points, 77.98, 0.49
test-182.points, 56.41, 0.28
test-183.points, 60.06, 0.25
test-184.points, 69.11, 0.52
test-185.points, 61.76, 0.28
test-186.points, 83.64, 0.34
test-187.points, 71.84, 0.36
test-188.points, 85.66, 0.13
test-189.points, 70.98, 0.38
test-19.points, 69.31, 0.43
test-190.points, 74.65, 0.17
test-191.points, 68.67, 0.12
test-192.points, 69.20, 0.29
test-193.points, 60.50, 0.10
test-194.points, 68.14, 0.30
test-195.points, 82.12, 0.38
test-196.points, 62.48, 0.12
test-197.points, 64.18, 0.16
test-198.points, 70.28, 0.43
test-199.points, 0.28, 0.27
test-2.points, 71.46, 0.33
test-20.points, 67.13, 0.19
test-200.points, 91.51, 0.23
test-201.points, 70.33, 0.31
test-202.points, 72.19, 0.30
test-203.points, 79.42, 0.32
test-204.points, 63.41, 0.18
test-205.points, 58.96, 0.38
test-206.points, 84.53, 0.29
test-207.points, 61.43, 0.36
test-208.points, 76.83, 0.40
test-209.points, 79.60, 0.27
test-21.points, 68.82, 0.36
test-210.points, 62.76, 0.34
test-211.points, 74.65, 0.17
test-212.points, 83.14, 0.12
test-213.points, 68.12, 0.14
test-214.points, 71.88, 0.29
test-215.points, 61.26, 0.12
test-216.points, 80.03, 0.16
test-217.points, 82.75, 0.09
test-218.points, 60.46, 0.21
test-219.points, 77.37, 0.12
test-22.points, 91.40, 0.16
